index,Malicious,Pred
257,1.0,1.0
295,1.0,0.0
3273,1.0,1.0
1094,1.0,1.0
3252,0.0,0.0
2771,1.0,1.0
3944,1.0,1.0
897,1.0,1.0
809,0.0,0.0
1146,1.0,1.0
2847,0.0,0.0
3838,1.0,1.0
2902,1.0,1.0
3654,0.0,1.0
1192,1.0,1.0
2299,1.0,1.0
1114,1.0,1.0
1738,1.0,1.0
1420,0.0,1.0
2803,1.0,1.0
2970,1.0,1.0
3405,0.0,1.0
1187,1.0,1.0
2238,1.0,1.0
411,1.0,1.0
1029,1.0,1.0
2699,1.0,1.0
2725,1.0,1.0
1116,1.0,1.0
1366,1.0,1.0
657,1.0,1.0
2031,0.0,1.0
764,1.0,1.0
1027,1.0,1.0
152,0.0,0.0
3828,1.0,1.0
3530,1.0,1.0
2458,1.0,1.0
102,1.0,1.0
3484,1.0,1.0
1983,1.0,1.0
239,1.0,1.0
1042,1.0,1.0
787,1.0,1.0
1106,0.0,1.0
1783,1.0,1.0
733,1.0,1.0
761,0.0,1.0
2858,1.0,1.0
2574,0.0,1.0
3984,1.0,1.0
893,1.0,1.0
3518,1.0,1.0
857,1.0,1.0
2338,1.0,1.0
332,1.0,1.0
755,0.0,1.0
1602,1.0,1.0
1422,1.0,1.0
1641,1.0,1.0
3519,1.0,1.0
1188,1.0,1.0
1161,0.0,1.0
2615,1.0,1.0
2073,1.0,1.0
2529,1.0,1.0
3223,1.0,1.0
2952,0.0,1.0
2820,1.0,1.0
2319,0.0,0.0
1952,0.0,1.0
2664,0.0,1.0
1592,0.0,1.0
3210,1.0,0.0
2099,1.0,1.0
554,1.0,1.0
1270,0.0,1.0
1003,1.0,1.0
3669,1.0,1.0
1413,1.0,1.0
2018,1.0,1.0
3253,1.0,1.0
3032,0.0,1.0
1321,1.0,1.0
2441,1.0,1.0
1395,1.0,0.0
2470,0.0,1.0
3135,0.0,1.0
3036,1.0,1.0
4060,1.0,1.0
2769,1.0,1.0
3641,1.0,1.0
3938,1.0,1.0
1393,1.0,1.0
4016,1.0,1.0
1231,1.0,1.0
731,1.0,0.0
1882,1.0,1.0
721,1.0,1.0
1849,1.0,1.0
2005,1.0,1.0
4066,0.0,1.0
3244,0.0,1.0
1752,1.0,1.0
1593,1.0,1.0
346,0.0,1.0
978,1.0,1.0
2656,1.0,1.0
1915,1.0,1.0
888,0.0,1.0
3332,0.0,1.0
752,1.0,1.0
1370,0.0,1.0
2857,0.0,1.0
1732,1.0,1.0
1235,0.0,1.0
178,1.0,1.0
3616,1.0,0.0
3237,1.0,1.0
2113,1.0,0.0
881,1.0,1.0
1377,1.0,1.0
1200,0.0,1.0
1876,1.0,1.0
25,1.0,1.0
4003,1.0,1.0
2210,1.0,1.0
1859,1.0,0.0
173,0.0,1.0
2465,1.0,0.0
3107,1.0,1.0
331,1.0,1.0
843,0.0,1.0
430,1.0,1.0
3168,1.0,1.0
3000,0.0,0.0
1260,1.0,1.0
1450,1.0,1.0
479,1.0,1.0
937,0.0,1.0
3555,1.0,1.0
1228,1.0,1.0
3329,1.0,1.0
3630,0.0,0.0
3470,1.0,1.0
3809,0.0,1.0
2826,0.0,1.0
1846,0.0,1.0
324,1.0,1.0
2937,1.0,1.0
1344,1.0,1.0
468,0.0,1.0
561,0.0,1.0
2227,1.0,1.0
2063,1.0,1.0
2800,1.0,1.0
2111,1.0,1.0
3865,0.0,1.0
3594,1.0,1.0
1684,0.0,1.0
61,1.0,1.0
2748,1.0,1.0
1936,1.0,1.0
3544,1.0,1.0
254,0.0,1.0
2736,1.0,1.0
2383,1.0,0.0
2899,1.0,1.0
912,1.0,1.0
1749,1.0,1.0
2605,1.0,1.0
3262,1.0,1.0
67,1.0,1.0
1672,1.0,1.0
4006,1.0,1.0
221,1.0,1.0
2015,1.0,1.0
3307,1.0,1.0
2059,1.0,1.0
3160,1.0,1.0
88,1.0,1.0
1057,1.0,1.0
2676,1.0,1.0
3148,1.0,1.0
3452,1.0,1.0
1611,0.0,1.0
1874,0.0,1.0
3367,1.0,1.0
436,1.0,1.0
3494,1.0,1.0
3660,0.0,1.0
2925,0.0,1.0
1032,1.0,1.0
2920,1.0,1.0
1964,0.0,1.0
3985,0.0,1.0
3935,0.0,1.0
1557,1.0,1.0
2689,0.0,0.0
3328,1.0,1.0
1117,1.0,1.0
1860,1.0,1.0
283,1.0,1.0
712,1.0,1.0
274,1.0,1.0
2596,1.0,1.0
621,1.0,1.0
2946,1.0,1.0
2700,1.0,1.0
1652,0.0,0.0
3375,1.0,1.0
3719,0.0,1.0
1128,0.0,1.0
423,1.0,1.0
3039,0.0,1.0
2685,1.0,1.0
506,1.0,1.0
2987,0.0,1.0
3606,1.0,0.0
3623,1.0,1.0
2025,1.0,1.0
2655,1.0,1.0
839,1.0,1.0
500,0.0,1.0
1558,1.0,1.0
1110,1.0,1.0
549,1.0,1.0
557,0.0,1.0
1647,0.0,1.0
602,1.0,1.0
442,1.0,1.0
1830,1.0,1.0
218,1.0,1.0
2140,1.0,0.0
949,1.0,1.0
736,0.0,0.0
3379,1.0,1.0
209,1.0,1.0
3877,1.0,1.0
2545,1.0,1.0
1483,1.0,1.0
1867,0.0,1.0
3286,1.0,1.0
3439,1.0,1.0
1175,0.0,1.0
1601,1.0,1.0
4007,0.0,1.0
2942,1.0,1.0
2093,1.0,1.0
2406,1.0,1.0
4000,1.0,0.0
2400,1.0,1.0
889,1.0,1.0
1578,1.0,1.0
805,0.0,1.0
2750,1.0,1.0
1793,1.0,1.0
2969,1.0,1.0
578,1.0,1.0
2554,1.0,1.0
1550,1.0,1.0
3780,0.0,1.0
1898,1.0,1.0
0,1.0,1.0
1185,0.0,1.0
1173,0.0,1.0
3907,1.0,1.0
3824,0.0,1.0
2668,1.0,1.0
3180,1.0,1.0
247,1.0,1.0
1467,1.0,1.0
3644,1.0,1.0
2428,0.0,1.0
2367,1.0,1.0
3025,0.0,1.0
2862,1.0,1.0
1553,1.0,1.0
3702,1.0,1.0
3705,1.0,1.0
650,0.0,1.0
3241,0.0,1.0
3781,0.0,0.0
2358,1.0,1.0
2461,1.0,1.0
2312,1.0,1.0
175,0.0,1.0
278,0.0,1.0
3428,1.0,1.0
1108,1.0,1.0
1444,1.0,1.0
1967,1.0,1.0
2566,1.0,1.0
1754,1.0,1.0
691,1.0,1.0
2985,1.0,1.0
416,1.0,1.0
1345,1.0,1.0
217,1.0,1.0
759,1.0,1.0
2024,1.0,1.0
1786,1.0,0.0
3163,1.0,1.0
3209,0.0,0.0
1071,0.0,0.0
2684,0.0,1.0
3440,0.0,1.0
727,1.0,1.0
1135,1.0,1.0
3803,1.0,1.0
1615,1.0,1.0
1613,1.0,1.0
2607,1.0,1.0
449,1.0,1.0
1436,0.0,1.0
376,1.0,1.0
1391,1.0,1.0
1412,1.0,1.0
2102,1.0,1.0
4025,1.0,1.0
433,1.0,1.0
3195,1.0,1.0
371,0.0,0.0
3331,1.0,1.0
4039,0.0,1.0
2097,0.0,0.0
700,1.0,0.0
